Customer ID,Count,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,City,Zip Code,Latitude,Longitude,Population,Median Household Income,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score,Churn Value,Churn Score,CLTV,Churn Category,Churn Reason
4412-YLTKF,1,Female,72,0,1,0,1,1,Pico Rivera,90660,33.989524,-118.089299,63288,56607.0,0,0,27,Offer C,1,3.33,1,1,Fiber Optic,18,0,0,1,0,0,0,0,0,Month-to-Month,1,Bank Withdrawal,78.05,2135.5,0.0,10,89.91,2235.41,1,1,95,4638,Competitor,Competitor had better devices
8182-PNAGI,1,Male,50,0,0,0,0,0,Pico Rivera,90660,33.989524,-118.089299,63288,56607.0,0,0,12,None,1,46.58,0,1,DSL,26,0,0,0,1,0,0,0,0,Month-to-Month,0,Bank Withdrawal,50.25,593.75,0.0,120,558.96,1272.71,1,1,67,3624,Price,Extra data charges
6181-AXXYF,1,Male,54,0,0,1,1,2,Pico Rivera,90660,33.989524,-118.089299,63288,56607.0,1,3,72,Offer A,1,47.69,1,0,None,0,0,0,0,0,0,0,0,0,Two Year,0,Credit Card,24.75,1859.1,0.0,0,3433.68,5292.78,4,0,71,4185,,
9391-LMANN,1,Male,38,0,0,0,1,>=3,Pico Rivera,90660,33.989524,-118.089299,63288,56607.0,0,0,53,Offer B,1,33.74,0,1,Fiber Optic,56,1,1,1,0,0,1,1,1,One Year,0,Bank Withdrawal,95.95,5036.9,0.0,0,1788.22,6825.12,3,0,61,4523,,
8779-YIQQA,1,Male,38,0,0,1,1,1,Pico Rivera,90660,33.989524,-118.089299,63288,56607.0,1,>=10,21,None,1,18.0,0,0,None,0,0,0,0,0,0,0,0,0,One Year,0,Credit Card,19.8,350.1,0.0,0,378.0,728.1,3,0,47,3243,,
0390-DCFDQ,1,Female,76,0,1,1,1,2,Los Alamitos,90720,33.79499,-118.065591,21343,95631.0,1,1,1,Offer E,1,15.28,0,1,Fiber Optic,30,0,0,0,0,0,0,0,1,Month-to-Month,1,Mailed Check,70.45,70.45,0.0,0,15.28,85.73,2,1,76,3964,Other,Don't know
5996-NRVXR,1,Male,68,0,1,1,0,0,Los Alamitos,90720,33.79499,-118.065591,21343,95631.0,1,2,40,None,1,15.15,0,1,Fiber Optic,18,1,1,1,1,1,0,0,1,One Year,1,Credit Card,98.15,4116.8,27.89,0,606.0,4694.91,3,0,53,4332,,
2348-KCJLT,1,Female,60,0,0,1,0,0,Los Alamitos,90720,33.79499,-118.065591,21343,95631.0,1,8,44,Offer B,1,44.87,0,1,Cable,20,1,1,1,0,0,0,0,0,One Year,1,Credit Card,61.5,2722.2,0.0,150,1974.28,4846.48,3,0,21,2059,,
7269-JISCY,1,Female,48,0,0,0,0,0,Los Alamitos,90720,33.79499,-118.065591,21343,95631.0,0,0,55,None,1,33.6,0,1,DSL,5,0,0,0,0,0,0,0,1,One Year,0,Bank Withdrawal,45.05,2462.6,0.0,0,1848.0,4310.6,3,0,39,4055,,
5245-VDBUR,1,Female,58,0,0,1,0,0,Los Alamitos,90720,33.79499,-118.065591,21343,95631.0,1,4,52,None,0,0.0,0,1,DSL,8,1,0,1,0,0,0,0,1,One Year,0,Credit Card,35.45,1958.95,0.0,0,0.0,1958.95,4,0,47,5509,,
3445-HXXGF,1,Male,66,0,1,1,0,0,Sierra Madre,91024,34.168686,-118.057505,10558,90780.0,1,6,58,Offer B,0,0.0,0,1,DSL,24,0,1,1,0,0,1,0,1,Month-to-Month,1,Bank Withdrawal,45.3,2651.2,40.95,0,0.0,2610.25,1,1,91,5444,Dissatisfaction,Service dissatisfaction
4840-ORQXB,1,Female,67,0,1,0,0,0,Sierra Madre,91024,34.168686,-118.057505,10558,90780.0,0,0,56,None,1,27.64,1,1,Fiber Optic,7,0,1,1,0,1,1,0,1,Two Year,0,Bank Withdrawal,104.75,5841.35,36.52,0,1547.8400000000001,7352.67,3,0,35,5128,,
6120-RJKLU,1,Female,69,0,1,1,0,0,Sierra Madre,91024,34.168686,-118.057505,10558,90780.0,1,9,62,Offer B,1,24.62,0,1,DSL,29,1,0,1,1,1,1,0,1,Two Year,1,Credit Card,79.95,4819.75,0.0,0,1526.44,6346.1900000000005,4,0,54,6488,,
7554-AKDQF,1,Female,27,1,0,1,0,0,Sierra Madre,91024,34.168686,-118.057505,10558,90780.0,1,9,6,Offer E,1,5.69,0,1,DSL,27,0,0,0,0,0,0,0,1,Month-to-Month,0,Credit Card,45.65,323.45,0.0,0,34.14,357.59,4,0,40,4227,,
7267-FRMJW,1,Female,25,1,0,1,1,>=3,Sierra Madre,91024,34.168686,-118.057505,10558,90780.0,1,1,25,Offer C,1,4.57,0,0,None,0,0,0,0,0,0,0,0,0,Two Year,0,Credit Card,20.1,486.05,0.0,0,114.25,600.3,3,0,46,5306,,
2656-FMOKZ,1,Female,70,0,1,0,1,2,Pasadena,91106,34.139402,-118.128658,23742,72192.0,0,0,15,Offer D,1,44.07,1,1,Fiber Optic,19,0,0,0,0,0,0,0,1,Month-to-Month,1,Mailed Check,74.45,1145.7,0.0,0,661.05,1806.75,2,1,91,5717,Dissatisfaction,Limited range of services
1839-UMACK,1,Male,20,1,0,0,0,0,Pasadena,91106,34.139402,-118.128658,23742,72192.0,0,0,42,None,1,27.64,1,0,None,0,0,0,0,0,0,0,0,0,One Year,0,Bank Withdrawal,25.05,949.85,0.0,0,1160.88,2110.73,5,0,55,3756,,
6060-QBMGV,1,Male,30,0,0,1,0,0,Pasadena,91106,34.139402,-118.128658,23742,72192.0,1,9,70,Offer A,1,3.51,0,0,None,0,0,0,0,0,0,0,0,0,Two Year,0,Credit Card,19.85,1433.8,45.47,0,245.7,1634.03,5,0,39,4442,,
3850-OKINF,1,Male,42,0,0,1,1,>=3,Pasadena,91106,34.139402,-118.128658,23742,72192.0,0,0,71,Offer A,1,37.03,1,1,DSL,26,1,0,0,0,1,0,0,1,One Year,1,Bank Withdrawal,66.2,4692.55,0.0,0,2629.13,7321.68,3,0,62,4756,,
9546-KDTRB,1,Female,62,0,0,0,0,0,Pasadena,91106,34.139402,-118.128658,23742,72192.0,0,0,19,None,1,11.86,1,0,None,0,0,0,0,0,0,0,0,0,Month-to-Month,0,Bank Withdrawal,24.7,465.85,1.65,0,225.33999999999997,689.54,5,0,46,3612,,
2070-FNEXE,1,Female,77,0,1,0,1,2,Pasadena,91107,34.159007,-118.087353,32369,84761.0,0,0,7,Offer E,1,26.95,0,1,Fiber Optic,18,1,0,0,0,0,0,0,0,Month-to-Month,0,Bank Withdrawal,76.45,503.6,11.05,0,188.65,681.2,2,1,81,4419,Price,Lack of affordable download/upload speed
6892-XPFPU,1,Male,70,0,1,1,0,0,Pasadena,91107,34.159007,-118.087353,32369,84761.0,1,3,24,Offer C,1,49.76,1,1,Fiber Optic,11,0,1,1,0,1,1,1,1,Month-to-Month,1,Bank Withdrawal,104.25,2433.9,0.0,0,1194.24,3628.1400000000003,1,1,80,2104,Competitor,Competitor offered higher download speeds
3090-HAWSU,1,Male,44,0,0,0,0,0,Pasadena,91107,34.159007,-118.087353,32369,84761.0,0,0,61,None,1,7.82,1,1,Fiber Optic,11,1,0,1,1,1,1,1,1,Two Year,1,Credit Card,111.6,6876.05,0.0,0,477.02000000000004,7353.070000000001,1,1,87,4495,Competitor,Competitor offered more data
3030-YDNRM,1,Male,64,0,0,0,0,0,Pasadena,91107,34.159007,-118.087353,32369,84761.0,0,0,8,Offer E,1,11.58,1,1,Fiber Optic,7,0,0,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,74.85,572.45,0.0,0,92.64,665.09,4,0,40,5514,,
7339-POGZN,1,Female,24,1,0,0,0,0,Pasadena,91107,34.159007,-118.087353,32369,84761.0,0,0,4,None,1,16.25,1,1,DSL,51,0,0,0,0,0,0,0,1,Month-to-Month,0,Bank Withdrawal,50.7,214.55,39.92,0,65.0,239.63,4,0,60,4288,,
0094-OIFMO,1,Female,78,0,1,0,1,1,North Hollywood,91605,34.207295,-118.400022,57146,43707.0,0,0,11,Offer D,1,11.59,0,1,Fiber Optic,29,0,1,0,0,1,1,0,0,Month-to-Month,1,Bank Withdrawal,95.0,1120.3,0.0,120,127.49,1367.79,1,1,85,5980,Dissatisfaction,Product dissatisfaction
1624-NALOJ,1,Male,75,0,1,0,0,0,North Hollywood,91605,34.207295,-118.400022,57146,43707.0,0,0,5,None,1,36.36,1,1,Fiber Optic,12,0,1,0,0,0,1,0,1,Month-to-Month,1,Bank Withdrawal,89.8,502.6,0.0,0,181.8,684.4000000000001,1,1,88,2960,Other,Moved
6770-XUAGN,1,Female,30,0,0,1,0,0,North Hollywood,91605,34.207295,-118.400022,57146,43707.0,1,1,1,Offer E,1,16.66,0,0,None,0,0,0,0,0,0,0,0,0,Month-to-Month,1,Bank Withdrawal,21.0,21.0,0.0,0,16.66,37.66,2,1,90,3753,Attitude,Attitude of support person
1902-XBTFB,1,Male,39,0,0,0,0,0,North Hollywood,91605,34.207295,-118.400022,57146,43707.0,0,0,22,Offer D,1,39.58,0,1,Fiber Optic,12,0,1,1,0,1,0,0,1,Month-to-Month,1,Bank Withdrawal,89.4,2001.5,0.0,0,870.76,2872.26,2,1,91,5438,Dissatisfaction,Lack of self-service on Website
6618-RYATB,1,Female,56,0,0,0,0,0,North Hollywood,91605,34.207295,-118.400022,57146,43707.0,0,0,1,Offer E,1,5.1,1,1,Fiber Optic,10,0,0,1,0,0,0,0,1,Month-to-Month,1,Credit Card,79.55,79.55,0.0,0,5.1,84.64999999999999,2,1,93,5571,Price,Price too high
1301-LOPVR,1,Male,62,0,0,1,1,>=3,North Hollywood,91605,34.207295,-118.400022,57146,43707.0,1,6,29,None,0,0.0,0,1,DSL,57,1,1,1,1,0,1,1,1,One Year,1,Credit Card,55.35,1636.95,0.0,0,0.0,1636.95,3,0,70,5138,,
9947-OTFQU,1,Male,65,0,1,0,0,0,Covina,91722,34.097345,-117.906736,33817,63740.0,0,0,15,Offer D,1,29.11,0,1,Fiber Optic,29,0,1,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,74.4,1074.3,0.0,0,436.65,1510.9499999999998,1,1,86,4616,Competitor,Competitor had better devices
7594-RQHXR,1,Female,20,1,0,0,0,0,Covina,91722,34.097345,-117.906736,33817,63740.0,0,0,1,Offer E,1,21.72,0,1,Fiber Optic,52,0,0,0,0,0,1,1,1,Month-to-Month,1,Bank Withdrawal,79.6,79.6,0.0,0,21.72,101.32,2,1,94,3108,Other,Deceased
8563-OYMQY,1,Male,49,0,0,0,0,0,Covina,91722,34.097345,-117.906736,33817,63740.0,0,0,17,Offer D,1,34.98,0,1,Fiber Optic,21,0,1,1,0,0,1,1,1,Month-to-Month,1,Credit Card,90.95,1612.2,0.0,0,594.66,2206.86,5,0,23,5687,,
0734-OXWBT,1,Male,44,0,0,0,1,1,Covina,91722,34.097345,-117.906736,33817,63740.0,0,0,3,Offer E,1,25.04,0,1,Cable,17,0,0,0,1,1,1,1,1,Month-to-Month,0,Credit Card,70.7,225.65,0.0,0,75.12,300.77,3,0,56,2584,,
8738-JOKAR,1,Female,55,0,0,0,0,0,Covina,91722,34.097345,-117.906736,33817,63740.0,0,0,42,None,1,39.32,0,1,Cable,20,1,1,0,1,0,1,1,1,One Year,1,Credit Card,67.7,2882.25,0.0,0,1651.44,4533.6900000000005,4,0,36,5034,,
9514-JDSKI,1,Male,77,0,1,1,0,0,El Monte,91732,34.074492,-118.01462,62660,41485.0,1,1,1,Offer E,0,0.0,0,1,DSL,12,0,1,0,0,1,0,0,1,Month-to-Month,0,Bank Withdrawal,40.2,40.2,0.0,0,0.0,40.2,2,1,65,5828,Dissatisfaction,Limited range of services
3143-ILDAL,1,Male,21,1,0,0,0,0,El Monte,91732,34.074492,-118.01462,62660,41485.0,0,0,56,None,1,25.41,1,1,Fiber Optic,51,0,1,0,1,0,1,1,1,Month-to-Month,1,Bank Withdrawal,94.45,5124.6,0.0,0,1422.96,6547.56,3,1,96,4830,Attitude,Attitude of support person
0402-CQAJN,1,Female,22,1,0,0,0,0,El Monte,91732,34.074492,-118.01462,62660,41485.0,0,0,37,None,1,24.04,1,1,Fiber Optic,59,0,1,1,0,1,1,1,1,Month-to-Month,1,Bank Withdrawal,101.9,3545.35,0.0,0,889.48,4434.83,3,1,83,4437,Dissatisfaction,Lack of self-service on Website
0895-LNKRC,1,Male,53,0,0,1,1,>=3,El Monte,91732,34.074492,-118.01462,62660,41485.0,1,>=10,6,Offer E,1,1.57,0,0,None,0,0,0,0,0,0,0,0,0,One Year,0,Credit Card,19.45,113.5,0.0,0,9.42,122.92,4,0,43,3461,,
6502-KUGLL,1,Female,29,1,0,1,1,2,El Monte,91732,34.074492,-118.01462,62660,41485.0,1,4,14,Offer D,1,42.64,0,1,DSL,69,1,1,0,1,0,0,0,1,Month-to-Month,0,Bank Withdrawal,59.45,780.85,0.0,0,596.96,1377.81,3,0,26,5723,,
7273-TEFQD,1,Male,67,0,1,0,0,0,La Puente,91746,34.038983,-117.991372,30802,59502.0,0,0,3,Offer E,0,0.0,0,1,DSL,28,0,0,1,0,0,1,1,1,Month-to-Month,1,Bank Withdrawal,41.15,132.2,0.0,0,0.0,132.2,2,1,96,2314,Price,Long distance charges
3034-ZBEQN,1,Female,31,0,0,1,0,0,La Puente,91746,34.038983,-117.991372,30802,59502.0,1,1,48,None,0,0.0,0,1,DSL,22,0,1,1,0,0,0,0,1,One Year,0,Mailed Check,34.7,1604.5,0.0,0,0.0,1604.5,2,1,90,5995,Dissatisfaction,Product dissatisfaction
1195-OIYEJ,1,Male,54,0,0,0,0,0,La Puente,91746,34.038983,-117.991372,30802,59502.0,0,0,13,Offer D,1,5.43,0,1,Fiber Optic,26,0,0,0,0,1,1,1,0,Month-to-Month,1,Bank Withdrawal,91.1,1135.7,0.0,80,70.59,1286.29,2,1,78,5347,Attitude,Attitude of support person
0129-QMPDR,1,Male,64,0,0,1,0,0,La Puente,91746,34.038983,-117.991372,30802,59502.0,1,1,44,None,1,27.4,0,0,None,0,0,0,0,0,0,0,0,0,One Year,1,Bank Withdrawal,20.5,865.05,0.0,0,1205.6,2070.6499999999996,3,0,59,3093,,
7820-ZYGNY,1,Male,33,0,0,0,0,0,La Puente,91746,34.038983,-117.991372,30802,59502.0,0,0,63,None,1,9.21,1,1,Fiber Optic,28,0,1,0,0,0,1,1,0,One Year,0,Credit Card,90.45,5825.5,0.0,100,580.23,6505.73,3,0,23,4616,,
3606-TWKGI,1,Male,68,0,1,0,0,0,Rowland Heights,91748,33.976753,-117.897367,46342,60896.0,0,0,13,Offer D,1,32.68,1,1,Cable,11,0,1,1,0,1,1,0,0,Month-to-Month,1,Bank Withdrawal,106.9,1364.3,0.0,10,424.84,1799.1399999999999,1,1,84,2494,Competitor,Competitor had better devices
4317-VTEOA,1,Male,61,0,0,0,0,0,Rowland Heights,91748,33.976753,-117.897367,46342,60896.0,0,0,1,Offer E,1,43.03,0,1,DSL,3,0,1,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,50.75,50.75,0.0,0,43.03,93.78,2,1,93,5355,Competitor,Competitor had better devices
5906-CVLHP,1,Female,60,0,0,1,0,0,Rowland Heights,91748,33.976753,-117.897367,46342,60896.0,1,1,45,None,1,42.04,0,1,Cable,26,0,1,0,1,0,0,0,1,One Year,1,Credit Card,54.15,2319.8,0.0,0,1891.8,4211.6,2,1,92,2761,Attitude,Attitude of service provider
7188-CBBBA,1,Female,59,0,0,0,0,0,Rowland Heights,91748,33.976753,-117.897367,46342,60896.0,0,0,65,None,1,27.68,1,1,Fiber Optic,6,0,1,1,0,1,0,0,0,One Year,1,Bank Withdrawal,95.5,6153.85,0.0,80,1799.2,8033.05,5,0,35,6153,,
5018-HEKFO,1,Female,51,0,0,0,0,0,Rowland Heights,91748,33.976753,-117.897367,46342,60896.0,0,0,10,Offer D,1,17.01,1,0,None,0,0,0,0,0,0,0,0,0,Month-to-Month,1,Credit Card,24.5,270.15,0.0,0,170.10000000000002,440.25,3,0,78,5594,,
4385-GZQXV,1,Female,68,0,1,0,0,0,Ontario,91764,34.074087,-117.605618,49474,51060.0,0,0,16,Offer D,1,9.43,0,1,Fiber Optic,9,0,0,0,1,1,1,1,1,Month-to-Month,1,Bank Withdrawal,94.45,1511.2,0.0,0,150.88,1662.08,1,1,81,3810,Competitor,Competitor had better devices
2990-HWIML,1,Female,58,0,0,0,0,0,Ontario,91764,34.074087,-117.605618,49474,51060.0,0,0,6,Offer E,1,47.92,0,1,Fiber Optic,25,0,0,0,0,1,1,1,1,Month-to-Month,1,Bank Withdrawal,89.5,573.3,0.0,0,287.52,860.8199999999999,1,1,82,2898,Competitor,Competitor had better devices
8201-AAXCB,1,Male,55,0,0,1,1,>=3,Ontario,91764,34.074087,-117.605618,49474,51060.0,1,1,25,None,1,25.87,1,1,Cable,76,0,0,0,0,1,0,0,0,Month-to-Month,0,Bank Withdrawal,60.35,1404.65,0.0,10,646.75,2061.4,4,0,75,3192,,
4634-JLRJT,1,Female,30,0,0,0,0,0,Ontario,91764,34.074087,-117.605618,49474,51060.0,0,0,1,Offer E,1,29.86,0,0,None,0,0,0,0,0,0,0,0,0,Month-to-Month,1,Credit Card,20.35,20.35,0.0,0,29.86,50.21,4,0,40,2183,,
8044-BGWPI,1,Male,50,0,0,1,1,2,Ontario,91764,34.074087,-117.605618,49474,51060.0,1,8,12,Offer D,1,33.9,0,0,None,0,0,0,0,0,0,0,0,0,Month-to-Month,1,Bank Withdrawal,21.15,306.05,0.0,0,406.79999999999995,712.8499999999999,4,0,40,5209,,
3488-PGMQJ,1,Male,66,0,1,0,0,0,Alpine,91901,32.827184,-116.703729,16486,81379.0,0,0,8,None,1,1.78,0,1,Fiber Optic,7,0,1,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,74.5,606.55,0.0,0,14.24,620.79,2,1,80,4345,Dissatisfaction,Poor expertise of online support
6128-CZOMY,1,Female,43,0,0,0,0,0,Alpine,91901,32.827184,-116.703729,16486,81379.0,0,0,1,None,1,36.99,0,1,Cable,22,0,0,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,45.65,45.65,0.0,0,36.99,82.64,2,1,78,4689,Competitor,Competitor offered higher download speeds
3085-QUOZK,1,Female,55,0,0,0,0,0,Alpine,91901,32.827184,-116.703729,16486,81379.0,0,0,1,Offer E,1,34.48,0,1,Cable,9,0,0,0,0,0,0,0,1,Month-to-Month,0,Credit Card,43.95,43.95,0.0,0,34.48,78.43,3,1,76,3238,Attitude,Attitude of service provider
4890-VMUAV,1,Male,46,0,0,0,0,0,Alpine,91901,32.827184,-116.703729,16486,81379.0,0,0,63,Offer B,1,18.05,1,1,DSL,11,1,1,1,1,0,0,0,0,One Year,0,Bank Withdrawal,71.5,4576.3,0.0,70,1137.15,5783.450000000001,3,0,36,5342,,
